Bez2,PREIS1,Hauptgruppe,Bez Taste Gruppe
Auffahrrampen 1x,"2,50",Geräte,Fahrzeug
Bremsenprüfstand,"6,00",Geräte,Fahrzeug
Getriebeheber,"4,00",Geräte,Fahrzeug
Getriebeheber XL,"7,50",Geräte,Fahrzeug
Kette,"1,20",Geräte,Fahrzeug
Kettenverbinder,"1,00",Geräte,Fahrzeug
Rollwagen,"2,90",Geräte,Fahrzeug
Scheinwerfereinstellgerät,"5,00",Geräte,Fahrzeug
Acetylenbrenner,"7,50",Geräte,Schweissen
Spannungsschutz SG,"3,50",Geräte,Schweissen
Leiter,"2,40",Geräte,Werkstatt
Gießkanne,"1,20",Geräte,Werkstatt
Eimer,"0,80",Geräte,Werkstatt
Schraubzwinge,"2,00",Geräte,Werkstatt
Ständerbohrmaschine,"4,00",Geräte,Werkstatt
Werkzeugwagen,"15,00",Geräte,Werkstatt
Bügelmessschraube,"3,00",Spezial,Messwerkzeug
Massband,"1,40",Spezial,Messwerkzeug
Messbecher,"0,80",Spezial,Messwerkzeug
Messschieber,"2,00",Spezial,Messwerkzeug
Meterstab,"1,20",Spezial,Messwerkzeug
Zollstock,"1,20",Spezial,Messwerkzeug
Gewinderatsche,"2,40",Spezial,Gewinde IN
Gewindefeile,"4,00",Spezial,Gewinde IN
Gewindebohrer M4,"2,40",Spezial,Gewinde IN
Gewindebohrer M5,"2,40",Spezial,Gewinde IN
Gewindebohrer M6,"2,40",Spezial,Gewinde IN
Gewindebohrer M7,"2,40",Spezial,Gewinde IN
Gewindebohrer M8,"2,40",Spezial,Gewinde IN
Gewindebohrer M9,"2,40",Spezial,Gewinde IN
Gewindebohrer M10,"2,40",Spezial,Gewinde IN
Gewindebohrer M11,"2,40",Spezial,Gewinde IN
Gewindebohrer M12,"2,40",Spezial,Gewinde IN
Gewindebohrer M14,"2,40",Spezial,Gewinde IN
Gewindebohrer M16,"2,40",Spezial,Gewinde IN
Gewindebohrer M18,"2,40",Spezial,Gewinde IN
Helicoil Einsatz M6,"15,00",Spezial,Gewinde IN
Helicoil Einsatz M8,"15,00",Spezial,Gewinde IN
Helicoil Einsatz M9,"15,00",Spezial,Gewinde IN
Helicoil Einsatz M10,"15,00",Spezial,Gewinde IN
Helicoil Einsatz M12,"15,00",Spezial,Gewinde IN
Helicoil Einsatz M14,"15,00",Spezial,Gewinde IN
Helicoil Einsatz M18,"15,00",Spezial,Gewinde IN
Schraubenausdreher,"2,40",Spezial,Gewinde IN
Stufenbohrer,"4,00",Spezial,Gewinde IN
Antriebswellen Scheideisen,"5,00",Spezial,Gewinde AU
Schneideisen M4,"2,40",Spezial,Gewinde AU
Schneideisen M5,"2,40",Spezial,Gewinde AU
Schneideisen M6,"2,40",Spezial,Gewinde AU
Schneideisen M7,"2,40",Spezial,Gewinde AU
Schneideisen M8,"2,40",Spezial,Gewinde AU
Schneideisen M9,"2,40",Spezial,Gewinde AU
Schneideisen M10,"2,40",Spezial,Gewinde AU
Schneideisen M12,"2,40",Spezial,Gewinde AU
Schneideisen M14,"2,40",Spezial,Gewinde AU
Schneideisen M16,"2,40",Spezial,Gewinde AU
Wendeisen,"2,40",Spezial,Gewinde AU
Arbeitsschutzbrille,"1,40",Spezial,Arbeitschutz
Gesichtsschutz,"2,40",Spezial,Arbeitschutz
Schutzbrille,"1,20",Spezial,Arbeitschutz
Auspinnwerkzeug,"5,00",Spezial,Divers
Gummiklotz 1x,"1,20",Spezial,Divers
Gummiklotz 4x,"4,80",Spezial,Divers
Magnet,"1,60",Spezial,Divers
Mutternsprenger,"2,40",Spezial,Divers
Plastik-Hebel,"2,40",Spezial,Divers
Reissnadel,"1,60",Spezial,Divers
Schlagzahlen,"5,00",Spezial,Divers
Spanngurt,"2,00",Spezial,Divers
Spiegel,"2,00",Spezial,Divers
Spiegel mit Teleskop,"2,00",Spezial,Divers
Spreiznuss,"2,40",Spezial,Divers
Service Bremsenrückstellung,"30,00",Service,Diagnose
Service Codierung,"50,00",Service,Diagnose
Diagnose Hella Gutmann,"30,00",Service,Diagnose
Diagnose Launch,"30,00",Service,Diagnose
DPF Regenerierung,"50,00",Service,Diagnose
Fehlercode auslesen,"30,00",Service,Diagnose
Service Intervall zurückzusetzen,"8,00",Service,Diagnose
Altglasentsorgung,"5,00",Service,Entsorgung
Altreifenentsorgung inkl Felge,"10,00",Service,Entsorgung
Altreifenentsorgung pro Reifen,"6,00",Service,Entsorgung
Altölentsorgung inkl Filter,"5,00",Service,Entsorgung
Bremsflüssigkeitsentsorgung,"4,00",Service,Entsorgung
Frostschutzentsorgung,"6,00",Service,Entsorgung
Abgasuntersuchung PKW,"59,00",Service,HU/AU
Änderungsnachweis nach §19 (3),"48,79",Service,HU/AU
HU Durchsicht,"30,00",Service,HU/AU
HU PKW §29,"142,80",Service,HU/AU
HU PKW §29 inkl Überziehung,"190,40",Service,HU/AU
Nachkontrolle nach §29 StVZO,"24,99",Service,HU/AU
Klima-Service Dichtigkeitsprüfung,"19,99",Service,Klimaservice
Klima-Service Desinfektion,"40,00",Service,Klimaservice
Klimawartung ab 500gr. Kältemittel,"130,00",Service,Klimaservice
Klimawartung Aktionspreis bis 500gr. Kältemitt,"120,00",Service,Klimaservice
Klimawartung R1234YF,"115,00",Service,Klimaservice
Felgenhorn Reinigen,"5,00",Service,Reifenservice
Radwechsel ab 18 Zoll,"10,00",Service,Reifenservice
RadwechselStück bis 17 Zoll,"7,50",Service,Reifenservice
RDKS Anlernen,"4,99",Service,Reifenservice
Reifen flicken,"29,99",Service,Reifenservice
Reifen wuchten,"8,00",Service,Reifenservice
Reifeneinlagerung pro Saison,"40,00",Service,Reifenservice
Reifenflicken/Lose,"30,00",Service,Reifenservice
Reifenflicken/RW,"37,50",Service,Reifenservice
Reifengas,"2,50",Service,Reifenservice
Reifenmontage Alu -17 Zoll,"15,00",Service,Reifenservice
Reifenmontage Alu 18 Zoll,"18,00",Service,Reifenservice
Reifenmontage Alu 19 Zoll,"19,00",Service,Reifenservice
Reifenmontage Alu 20 Zoll,"20,00",Service,Reifenservice
Reifenmontage C (inkl. Schwerlastventil),"20,00",Service,Reifenservice
Reifenmontage Fremdreifen 19 Zoll,"29,00",Service,Reifenservice
Reifenmontage Fremdreifen Alu 18 Zoll,"29,89",Service,Reifenservice
Reifenmontage LLKW,"14,99",Service,Reifenservice
Reifenmontage RUNFLAT,"20,00",Service,Reifenservice
Reifenmontage Stahl,"14,99",Service,Reifenservice
Reifenmontage Stahl-Alu Fremdreifen -17 Zoll,"25,00",Service,Reifenservice
Reifenwechselpauschale (7.50),"7,50",Service,Reifenservice
Reifenwuchten Alufelge,"7,00",Service,Reifenservice
Reifenwuchten Stahlfelge,"7,00",Service,Reifenservice
Bremsflüssigkeitswechsel,"70,00",Service,Servicearbeiten
Elektrikarbeiten,"110,00",Service,Servicearbeiten
Fahrzeugdiagnose,"49,99",Service,Servicearbeiten
Getriebeölspülung,"154,00",Service,Servicearbeiten
Inspektion nach Herstellervorgabe,"95,00",Service,Servicearbeiten
Karosseriearbeiten,"110,00",Service,Servicearbeiten
Kundendienst nach Herstellervorgabe,"115,00",Service,Servicearbeiten
Lackierung,"155,00",Service,Servicearbeiten
Meisterstunde,"115,00",Service,Servicearbeiten
Ölwechsel inkl Altölentsorgung + Filter ohne,"24,99",Service,Servicearbeiten
Ölwechsel inkl. Altölentsorgung + Filter,"29,99",Service,Servicearbeiten
Scheinwerfereinstellung,"10,00",Service,Servicearbeiten
Urlaubscheck,"29,99",Service,Servicearbeiten
Wintercheck,"40,00",Service,Servicearbeiten
Einbauanleitung,"5,00",Service,Werkstatt
Leihwagen,"36,00",Service,Werkstatt
Reinigungspauschale,"10,00",Service,Werkstatt
Übernachtung Hof,"15,00",Service,Werkstatt
Übernachtung Werkstatt,"7,50",Service,Werkstatt
Motoröl 5w 30,"16,49",Shop,Flüssigkeiten
Motoröl 5w 40,"12,00",Shop,Flüssigkeiten
Motoröl 10w 40,"8,00",Shop,Flüssigkeiten
Bremsflüssigkeit DOT4,"15,00",Shop,Flüssigkeiten
Doppelkupplungsgetriebeöl,"18,99",Shop,Flüssigkeiten
Frostschutz Blau,"10,00",Shop,Flüssigkeiten
Frostschutz CT Standard,"10,00",Shop,Flüssigkeiten
Frostschutz Entsorgung,"6,00",Shop,Flüssigkeiten
Frostschutz G12++ Rot,"10,00",Shop,Flüssigkeiten
Frostschutz G13 VW,"16,00",Shop,Flüssigkeiten
MPM Screenwash,"16,99",Shop,Flüssigkeiten
Getriebeöl 70W-75W,"23,99",Shop,Flüssigkeiten
Getriebeöl SAE 75W-90,"18,99",Shop,Flüssigkeiten
Sonax ScheibenEnteiser,"9,49",Shop,Flüssigkeiten
ATF TopTec 1200,"17,99",Shop,Flüssigkeiten
MTF TopTec 5100 75W,"14,99",Shop,Flüssigkeiten
FEBI Zentralhydrauliköl,"19,00",Shop,Flüssigkeiten
Auspuffgummi,"5,00",Shop,Auspuff
Auspuffmontagepaste,"7,00",Shop,Auspuff
Bügel/Bandschelle klein,"5,99",Shop,Auspuff
Bügel/Bandschelle,"5,99",Shop,Auspuff
Bügelschelle 40mm,"5,99",Shop,Auspuff
Bügelschelle 42mm,"5,99",Shop,Auspuff
Bügelschelle 45mm,"5,99",Shop,Auspuff
Bügelschelle 48mm,"5,99",Shop,Auspuff
Bügelschelle 50mm,"5,99",Shop,Auspuff
Bügelschelle 52mm,"5,99",Shop,Auspuff
Bügelschelle 54mm,"5,99",Shop,Auspuff
Bügelschelle 58mm,"5,99",Shop,Auspuff
Bügelschelle 60mm,"5,99",Shop,Auspuff
Bügelschelle 62mm,"5,99",Shop,Auspuff
Bügelschelle 64mm,"5,99",Shop,Auspuff
Bügelschelle 76mm,"5,99",Shop,Auspuff
Auspuffmontagepaste Zement,"7,50",Shop,Auspuff
Auspuffmontagepaste FireG,"7,50",Shop,Auspuff
VAG Schelle 35.5MM,"5,99",Shop,Auspuff
VAG Schelle 41.5MM,"5,99",Shop,Auspuff
VAG Schelle 42.5MM,"5,99",Shop,Auspuff
VAG Schelle 45.5MM,"5,99",Shop,Auspuff
VAG Schelle 46.7MM,"5,99",Shop,Auspuff
VAG Schelle 48.5MM,"5,99",Shop,Auspuff
VAG Schelle 49.5MM,"5,99",Shop,Auspuff
VAG Schelle 51.5MM,"5,99",Shop,Auspuff
VAG Schelle 52.3MM,"5,99",Shop,Auspuff
VAG Schelle 53.5MM,"5,99",Shop,Auspuff
VAG Schelle 54.5MM,"5,99",Shop,Auspuff
VAG Schelle 55.5MM,"5,99",Shop,Auspuff
VAG Schelle 58.5MM,"5,99",Shop,Auspuff
VAG Schelle 59.5MM,"5,99",Shop,Auspuff
VAG Schelle 60.5MM,"5,99",Shop,Auspuff
VAG Schelle 62.5MM,"5,99",Shop,Auspuff
VAG Schelle 64.5MM,"5,99",Shop,Auspuff
Birne 10W12V,"1,60",Shop,Beleuchtung
Birne C5W,"1,20",Shop,Beleuchtung
Birne H10W,"8,99",Shop,Beleuchtung
Birne H3,"5,40",Shop,Beleuchtung
Birne H4,"4,99",Shop,Beleuchtung
Birne H6W,"4,99",Shop,Beleuchtung
Birne H7,"9,00",Shop,Beleuchtung
Birne H8,"19,99",Shop,Beleuchtung
Birne P21/4W,"2,40",Shop,Beleuchtung
Birne P21/5W,"3,00",Shop,Beleuchtung
Birne P21W,"2,20",Shop,Beleuchtung
Birne PY21W,"2,60",Shop,Beleuchtung
Birne R10W,"1,20",Shop,Beleuchtung
Birne R5W,"1,20",Shop,Beleuchtung
Birne T4W,"1,20",Shop,Beleuchtung
"Birne W1,2W","1,20",Shop,Beleuchtung
Birne W5W,"1,20",Shop,Beleuchtung
Birne WY5W,"2,99",Shop,Beleuchtung
Brems Rücklichtlampe,"2,60",Shop,Beleuchtung
Glassockellampe W5W,"1,20",Shop,Beleuchtung
Kugellampe,"1,60",Shop,Beleuchtung
Soffittenlampe,"1,20",Shop,Beleuchtung
Bohrer 1mm,"1,00",Shop,Bohrer
Bohrer 2mm,"2,00",Shop,Bohrer
Bohrer 3mm,"3,00",Shop,Bohrer
Bohrer 4mm,"4,00",Shop,Bohrer
Bohrer 5mm,"5,00",Shop,Bohrer
Bohrer 6mm,"6,00",Shop,Bohrer
Bohrer 7mm,"7,00",Shop,Bohrer
Bohrer 8mm,"8,00",Shop,Bohrer
Bohrer 9mm,"9,00",Shop,Bohrer
Bohrer 10mm,"10,00",Shop,Bohrer
Liqui Moly Diesel Fließ Fit,"5,99",Shop,Dosen
Liqui Moly Diesel Fließ Fit K,"14,99",Shop,Dosen
Liqui Moly A-Getriebe-Reiniger,"18,99",Shop,Dosen
Liqui Moly Speed Tec Benzin,"8,99",Shop,Dosen
Liqui Moly Speed Tec Diesel,"8,99",Shop,Dosen
Berner Unterbodenschutz,"11,99",Shop,Dosen
Bremsenreiniger 500ml,"4,99",Shop,Dosen
Unterbodenschutzwachs,"19,99",Shop,Dosen
Steinschlag U-Schutz,"10,00",Shop,Dosen
Rostlöser 500ml,"9,99",Shop,Dosen
Cartechnic Hohlraumversiegelung,"24,99",Shop,Dosen
Steinschlag/Unterbodenschutz,"19,99",Shop,Dosen
Color Matic 2K Klarlack,"30,00",Shop,Dosen
Brunox Roststopp + Grundierung,"48,99",Shop,Dosen
Blechmutter,"1,20",Shop,Kleinmaterial
Blechschrauben,"0,60",Shop,Kleinmaterial
Einweghandschuhe,"1,00",Shop,Kleinmaterial
Heisskleber Stick,"2,00",Shop,Kleinmaterial
Isolierband Ganz,"3,00",Shop,Kleinmaterial
Kabelbinder Groß,"0,70",Shop,Kleinmaterial
Kabelbinder Klein,"0,30",Shop,Kleinmaterial
Kabelbinder Mittel,"0,50",Shop,Kleinmaterial
Kabelschuh,"1,20",Shop,Kleinmaterial
Kleinmaterial,"1,60",Shop,Kleinmaterial
Kleinmaterial,"2,40",Shop,Kleinmaterial
Kleinmaterial,"3,20",Shop,Kleinmaterial
Kleinmaterial,"0,80",Shop,Kleinmaterial
Kleinmaterial,"1,20",Shop,Kleinmaterial
Kleinmaterial,"2,40",Shop,Kleinmaterial
Kupfer/Aluring,"1,40",Shop,Kleinmaterial
Kupfermutter,"1,60",Shop,Kleinmaterial
Niete,"0,60",Shop,Kleinmaterial
Nutenstein,"2,40",Shop,Kleinmaterial
Schlauchschelle Groß,"3,90",Shop,Kleinmaterial
Schlauchschelle Klein,"1,60",Shop,Kleinmaterial
Schlauchschelle Mittel,"3,20",Shop,Kleinmaterial
Schlauchschelle  12-22mm,"1,60",Shop,Kleinmaterial
Schlauchschelle  16-27mm,"3,20",Shop,Kleinmaterial
Schlauchschelle  20-32mm,"3,20",Shop,Kleinmaterial
Schlauchschelle  25-40mm,"3,20",Shop,Kleinmaterial
Schlauchschelle  32-50mm,"3,90",Shop,Kleinmaterial
Schlauchschelle  40-60mm,"3,90",Shop,Kleinmaterial
Schlauchschelle  50-70mm,"3,90",Shop,Kleinmaterial
Schlauchschelle  60-80mm,"3,90",Shop,Kleinmaterial
Schlauchschelle  8-12mm,"1,60",Shop,Kleinmaterial
Schlauchschelle  8-16mm,"1,60",Shop,Kleinmaterial
Schleifpapier,"1,20",Shop,Kleinmaterial
Schraubensicherung,"2,40",Shop,Kleinmaterial
Schruppscheibe,"7,00",Shop,Kleinmaterial
Sekundenkleber,"3,50",Shop,Kleinmaterial
Sicherung,"2,00",Shop,Kleinmaterial
Ventil,"0,80",Shop,Kleinmaterial
Bremsenpaste anteilig,"2,40",Shop,Verbrauchsmaterial
Bremsenreiniger 500ml,"4,99",Shop,Verbrauchsmaterial
Cuttermesser,"2,50",Shop,Verbrauchsmaterial
Diesel-Partikelfilter-Reiniger,"29,99",Shop,Verbrauchsmaterial
Fächerscheibe anteilg.,"3,00",Shop,Verbrauchsmaterial
Fächerscheibe neu,"7,00",Shop,Verbrauchsmaterial
Fett mit Pinsel,"2,40",Shop,Verbrauchsmaterial
Fettspray,"11,99",Shop,Verbrauchsmaterial
Firegum,"7,00",Shop,Verbrauchsmaterial
Gehäusedichtung anteilig,"5,00",Shop,Verbrauchsmaterial
Handschuhe,"5,00",Shop,Verbrauchsmaterial
Karosseriedichtmasse,"9,99",Shop,Verbrauchsmaterial
Lecksuchspray,"9,99",Shop,Verbrauchsmaterial
Loctite,"2,50",Shop,Verbrauchsmaterial
Mewa Lappen,"0,60",Shop,Verbrauchsmaterial
Motordichtmasse Anteilig,"5,00",Shop,Verbrauchsmaterial
Nitro,"3,00",Shop,Verbrauchsmaterial
Pinsel,"3,00",Shop,Verbrauchsmaterial
Putzlappen,"0,60",Shop,Verbrauchsmaterial
Rostlöser 500ml,"9,99",Shop,Verbrauchsmaterial
Sägemehl,"3,00",Shop,Verbrauchsmaterial
Schaber/Klinge (Ersatz),"1,20",Shop,Verbrauchsmaterial
Trennscheibe 1.0 mm,"4,00",Shop,Verbrauchsmaterial
Zinkspray,"11,00",Shop,Verbrauchsmaterial
